,code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
213,FIN,2008,10.359060402684564,21.897142857142857,4486.0,79.5682926829268,4307.0,8.343
214,FIN,2009,10.06241610738255,33.00666666666667,4350.0,79.719512195122,59.6,9.161
215,FIN,2010,9.559731543624162,34.17,4252.0,79.8707317073171,58.0,9.142
216,FIN,2011,9.361073825503356,35.252,4718.0,80.4707317073171,4161.5,9.223
217,FIN,2012,9.233557046979866,36.093999999999994,4573.0,80.6268292682927,4149.0,9.586
218,FIN,2013,9.00268456375839,33.016666666666666,4892.0,80.9756097560976,4009.5,9.805
219,FIN,2014,8.696644295302013,37.78,4923.0,81.1804878048781,3919.5,9.781
220,FIN,2015,7.6597315436241615,35.736666666666665,4128.0,81.4804878048781,73.8,9.645
221,FIN,2016,7.610738255033557,40.266,4109.0,81.4292682926829,74.4,9.378
222,FIN,2017,6.910738255033557,41.196666666666665,4236.0,81.6317073170732,73.6,9.127
223,FIN,2018,6.871140939597316,33.60055555555555,4522.0,81.7341463414634,3893.5,9.043
224,FRA,2000,6.5134228187919465,59.37916666666667,2161.85302734,79.0560975609756,258.0,9.584
225,FRA,2001,6.523489932885906,88.73538461538462,2192.71557617,79.1585365853659,76.1,9.706
226,FRA,2002,6.550335570469799,93.41461538461539,2449.75830078,79.2609756097561,73.8,10.022
227,FRA,2003,6.475167785234899,99.815,3006.3059082,79.1146341463415,238.9,10.083
228,FRA,2004,6.361073825503356,109.02538461538462,3458.62744141,80.1634146341463,225.8,10.164
229,FRA,2005,6.223489932885906,118.50692307692307,3575.02514648,80.1634146341463,224.0,10.215
230,FRA,2006,6.121476510067114,123.88538461538462,3811.55175781,80.8121951219512,216.1,10.386
231,FRA,2007,6.052348993288591,126.33461538461539,4312.31054688,81.1121951219512,211.2,10.316
232,FRA,2008,5.9583892617449665,135.19076923076923,4807.37451172,81.2146341463415,205.5,10.501
233,FRA,2009,5.950335570469798,141.39076923076922,4737.578125,81.4146341463415,203.3,11.288
234,FRA,2010,5.987755102040816,149.62115384615385,4592.38330078,81.6634146341463,198.6,11.226
235,FRA,2011,5.913605442176871,158.475,4931.87792969,82.1146341463415,195.2,11.185
236,FRA,2012,5.902721088435374,174.31692307692308,4644.59570313,81.9682926829268,187.3,11.297
237,FRA,2013,5.882312925170067,191.29500000000002,4884.76660156,82.219512195122,181.8,11.396
238,FRA,2014,5.819727891156463,204.17785714285714,4980.81494141,82.719512195122,175.4,11.525
239,FRA,2015,5.763265306122449,225.845,4201.78173828,82.3219512195122,161.0,11.44
240,FRA,2016,6.791156462585034,234.86249999999998,4256.765625,82.5731707317073,157.9,11.49
241,FRA,2017,6.743537414965987,241.0507142857143,4410.59912109,82.5756097560976,158.7,11.371
242,FRA,2018,6.7326530612244895,246.58357142857145,4666.97998047,82.6756097560976,156.8,11.21
243,FRA,2019,6.724489795918367,253.53035714285716,4504.48486328,82.8268292682927,153.5,11.099
244,GBR,2001,10.799328859060402,197.62166666666667,2052.34667969,77.9926829268293,377.4,7.452
245,GBR,2002,10.461744966442954,176.6775,2306.12841797,78.1439024390244,367.3,7.878
246,GBR,2003,10.324161073825504,175.01125,2784.53955078,78.4463414634146,356.7,8.078
247,GBR,2004,10.251677852348994,156.7375,3366.34155273,78.7463414634146,337.6,8.339
248,GBR,2005,10.199328859060403,158.787,3536.32299805,79.0487804878049,327.0,8.394
249,GBR,2006,10.120805369127517,196.935,3857.4855957,79.2487804878049,316.4,8.545
250,GBR,2007,9.493959731543624,192.5925,4367.53564453,79.4487804878049,307.3,8.757
251,GBR,2008,9.448322147651007,207.29999999999998,4297.47509766,79.6,301.3,9.04
252,GBR,2009,9.400671140939597,278.4,3914.19580078,80.0512195121951,287.4,9.848
253,GBR,2010,9.298657718120806,243.56625,3956.38891602,80.4024390243902,278.4,9.789
254,GBR,2011,8.702013422818792,252.20999999999998,4199.08398438,80.9512195121951,266.5,9.796
255,GBR,2012,8.560402684563758,262.8,4242.23486328,80.9048780487805,254.3,9.892
256,GBR,2013,8.415436241610738,268.66249999999997,4304.47802734,81.0048780487805,254.4,9.978
257,GBR,2014,8.246308724832215,246.23833333333332,4697.76025391,81.3048780487805,248.9,9.903
258,GBR,2016,9.944295302013423,307.185,4017.34228516,81.1560975609756,26611.0,9.765
259,GBR,2018,8.487919463087248,272.035,4226.20507813,81.2560975609756,75.0,9.738
260,GBR,2019,7.565789473684211,199.95,4268.67724609,81.4048780487805,70.6,9.954
261,GRC,2014,9.662162162162161,90.13499999999999,1700.49438477,81.3853658536585,114.8,7.891
262,GRC,2015,9.155405405405405,94.18972222222222,1481.41967773,81.0365853658537,119.6,8.22
263,GRC,2016,9.777027027027026,94.95194444444444,1513.25915527,81.3878048780488,7367.0,8.449
264,GRC,2017,8.308053691275168,100.61500000000001,1509.7845459,81.2878048780488,7449.0,8.135
265,HRV,2017,8.424324324324324,22.087222222222223,903.0,77.8268292682927,182.9,6.643
266,HRV,2018,8.487837837837837,22.4725,1025.0,78.0707317073171,108.4,6.734
267,HRV,2019,8.385135135135135,22.635833333333334,1040.0,78.4243902439025,104.3,6.787
