,code,country,year,set_healtchare_capita_outcomes
393,CAN,Canada,2007,1536.596
394,CAN,Canada,2007,37.522
395,CAN,Canada,2007,100.0
396,CAN,Canada,2007,32.357
397,CAN,Canada,2007,67.643
398,CAN,Canada,2007,320.888
399,CAN,Canada,2007,2654.899
400,CAN,Canada,2007,100.0
401,CAN,Canada,2007,0.02
402,CAN,Canada,2007,1857.483
403,CAN,Canada,2007,0.097
404,CAN,Canada,2007,9672.305
405,CAN,Canada,2007,100.0
406,CAN,Canada,2007,143.963
407,CAN,Canada,2007,35.476
408,CAN,Canada,2007,0.009
409,CAN,Canada,2007,0.006
410,CAN,Canada,2007,100.0
411,CAN,Canada,2007,91.049
412,CAN,Canada,2007,0.012
413,CAN,Canada,2007,6240.979
414,CAN,Canada,2007,52.915
415,CAN,Canada,2007,64.524
416,CAN,Canada,2007,3431.326
417,CAN,Canada,2007,0.448
418,CAN,Canada,2007,0.038
419,CAN,Canada,2008,0.083
420,CAN,Canada,2008,0.327
421,CAN,Canada,2008,5725.439
422,CAN,Canada,2008,0.002
423,CAN,Canada,2008,379.439
424,CAN,Canada,2008,65.821
425,CAN,Canada,2008,0.024
426,CAN,Canada,2008,0.227
427,CAN,Canada,2008,59.35
428,CAN,Canada,2008,40.65
429,CAN,Canada,2008,0.118
430,CAN,Canada,2008,772.835
431,CAN,Canada,2008,0.152
432,CAN,Canada,2008,3768.562
433,CAN,Canada,2008,0.479
434,CAN,Canada,2008,34.179
435,CAN,Canada,2008,1240.494
436,CAN,Canada,2008,393.396
437,CAN,Canada,2008,9.943
438,CAN,Canada,2008,100.0
439,CAN,Canada,2008,50.903
440,CAN,Canada,2008,136.965
441,CAN,Canada,2008,100.0
442,CAN,Canada,2008,49.097
443,CAN,Canada,2008,100.0
444,CAN,Canada,2008,1956.877
445,CAN,Canada,2008,0.008
446,CAN,Canada,2008,90.057
447,CAN,Canada,2008,31.805
448,CAN,Canada,2008,1377.459
449,CAN,Canada,2008,0.002
450,CAN,Canada,2008,0.004
451,CAN,Canada,2008,0.075
452,CAN,Canada,2008,100.0
453,CAN,Canada,2008,7939.789
454,CAN,Canada,2008,68.195
455,CAN,Canada,2008,38.017
456,CAN,Canada,2008,5414.534
457,CAN,Canada,2008,0.023
458,CAN,Canada,2008,26.039
459,CAN,Canada,2008,0.346
460,CAN,Canada,2008,2525.255
461,CAN,Canada,2008,100.0
462,CAN,Canada,2008,0.047
463,CAN,Canada,2008,64.056
464,CAN,Canada,2009,0.092
465,CAN,Canada,2009,0.375
466,CAN,Canada,2009,6241.63
467,CAN,Canada,2009,0.004
468,CAN,Canada,2009,294.75
469,CAN,Canada,2009,70.232
470,CAN,Canada,2009,0.032
471,CAN,Canada,2009,0.279
472,CAN,Canada,2009,43.906
473,CAN,Canada,2009,56.094
474,CAN,Canada,2009,0.118
475,CAN,Canada,2009,793.241
476,CAN,Canada,2009,0.173
477,CAN,Canada,2009,4383.599
478,CAN,Canada,2009,0.548
479,CAN,Canada,2009,29.768
480,CAN,Canada,2009,1133.864
481,CAN,Canada,2009,498.491
482,CAN,Canada,2009,21.495
483,CAN,Canada,2009,100.0
484,CAN,Canada,2009,62.842
485,CAN,Canada,2009,310.463
486,CAN,Canada,2009,100.0
487,CAN,Canada,2009,37.158
488,CAN,Canada,2009,78.505
489,CAN,Canada,2009,100.0
490,CAN,Canada,2009,1858.031
491,CAN,Canada,2009,0.02
492,CAN,Canada,2009,31.642
493,CAN,Canada,2009,1444.327
494,CAN,Canada,2009,0.005
495,CAN,Canada,2009,0.008
496,CAN,Canada,2009,0.072
497,CAN,Canada,2009,100.0
498,CAN,Canada,2009,8609.858
499,CAN,Canada,2009,68.358
500,CAN,Canada,2009,57.368
501,CAN,Canada,2009,5885.505
502,CAN,Canada,2009,0.019
503,CAN,Canada,2009,73.292
504,CAN,Canada,2009,0.397
505,CAN,Canada,2009,2724.353
506,CAN,Canada,2009,100.0
507,CAN,Canada,2009,0.05
508,CAN,Canada,2009,130.66
509,CAN,Canada,2010,0.085
510,CAN,Canada,2010,0.421
511,CAN,Canada,2010,6927.097
512,CAN,Canada,2010,0.005
513,CAN,Canada,2010,539.805
514,CAN,Canada,2010,75.483
515,CAN,Canada,2010,0.041
516,CAN,Canada,2010,0.314
517,CAN,Canada,2010,40.627
518,CAN,Canada,2010,59.373
519,CAN,Canada,2010,0.102
520,CAN,Canada,2010,1220.841
521,CAN,Canada,2010,0.165
522,CAN,Canada,2010,5228.78
523,CAN,Canada,2010,0.586
524,CAN,Canada,2010,24.517
525,CAN,Canada,2010,1137.666
526,CAN,Canada,2010,681.036
527,CAN,Canada,2010,20.107
528,CAN,Canada,2010,100.0
529,CAN,Canada,2010,55.784
530,CAN,Canada,2010,286.319
531,CAN,Canada,2010,100.0
532,CAN,Canada,2010,44.216
533,CAN,Canada,2010,79.893
534,CAN,Canada,2010,100.0
535,CAN,Canada,2010,1698.317
536,CAN,Canada,2010,0.017
537,CAN,Canada,2010,28.101
538,CAN,Canada,2010,0.007
539,CAN,Canada,2010,0.012
540,CAN,Canada,2010,0.068
541,CAN,Canada,2010,100.0
542,CAN,Canada,2010,9764.851
543,CAN,Canada,2010,71.899
544,CAN,Canada,2010,78.381
545,CAN,Canada,2010,7020.799
546,CAN,Canada,2010,0.032
547,CAN,Canada,2010,114.548
548,CAN,Canada,2010,0.416
549,CAN,Canada,2010,2744.052
550,CAN,Canada,2010,100.0
551,CAN,Canada,2010,0.073
552,CAN,Canada,2010,192.929
553,CAN,Canada,2010,1423.984
554,CAN,Canada,2011,0.091
555,CAN,Canada,2011,0.409
556,CAN,Canada,2011,7245.188
557,CAN,Canada,2011,0.005
558,CAN,Canada,2011,373.847
559,CAN,Canada,2011,75.207
560,CAN,Canada,2011,0.027
561,CAN,Canada,2011,0.307
562,CAN,Canada,2011,48.189
563,CAN,Canada,2011,51.811
564,CAN,Canada,2011,0.101
565,CAN,Canada,2011,844.593
566,CAN,Canada,2011,0.149
567,CAN,Canada,2011,5448.869
568,CAN,Canada,2011,0.558
569,CAN,Canada,2011,24.793
570,CAN,Canada,2011,1328.132
571,CAN,Canada,2011,470.746
572,CAN,Canada,2011,17.512
573,CAN,Canada,2011,100.0
574,CAN,Canada,2011,55.736
575,CAN,Canada,2011,281.958
576,CAN,Canada,2011,100.0
577,CAN,Canada,2011,44.264
578,CAN,Canada,2011,82.488
579,CAN,Canada,2011,100.0
580,CAN,Canada,2011,1796.32
581,CAN,Canada,2011,0.016
582,CAN,Canada,2011,26.709
583,CAN,Canada,2011,1610.089
584,CAN,Canada,2011,0.006
585,CAN,Canada,2011,0.011
586,CAN,Canada,2011,0.075
587,CAN,Canada,2011,100.0
588,CAN,Canada,2011,9894.097
589,CAN,Canada,2011,73.291
590,CAN,Canada,2011,93.595
591,CAN,Canada,2011,7251.478
592,CAN,Canada,2011,0.021
593,CAN,Canada,2011,100.631
594,CAN,Canada,2011,0.408
