country,year,length_stay
Chile,2004,9.9
Chile,2003,14.5
Chile,2002,10.7
Chile,2001,11.3
Chile,2018,7.6
Chile,2017,7.5
Chile,2016,7.4
Chile,2015,7.0
Chile,2014,6.8
Chile,2013,7.4
Chile,2012,7.0
Chile,2011,6.8
Chile,2010,6.8
Chile,2009,6.6
Chile,2008,6.9
Chile,2007,7.3
Chile,2006,6.5
Chile,2005,6.4
Chile,2004,7.3
Chile,2003,7.2
Chile,2002,7.2
Chile,2001,7.5
Chile,2018,3.3
Chile,2017,3.7
Chile,2016,3.7
Chile,2015,3.7
Chile,2014,3.8
Chile,2013,3.9
Chile,2012,4.0
Chile,2011,4.9
Chile,2010,4.9
Chile,2009,4.8
Chile,2008,5.2
Chile,2007,5.4
Chile,2006,5.4
Chile,2005,5.4
Chile,2004,5.6
Chile,2003,6.4
Chile,2002,7.1
Chile,2001,6.9
Chile,2018,11.9
Chile,2017,10.3
Chile,2016,10.1
Chile,2015,9.4
Chile,2014,10.8
Chile,2013,9.0
Chile,2012,9.3
Chile,2011,10.5
Chile,2010,8.9
Chile,2009,11.9
Chile,2008,10.5
Chile,2007,11.9
Chile,2006,9.2
Chile,2005,10.2
Chile,2004,12.0
Chile,2003,12.5
Chile,2002,11.8
Chile,2001,11.9
Chile,2018,13.6
Chile,2017,13.6
Chile,2016,13.3
Chile,2015,12.5
Chile,2014,11.8
Chile,2013,11.3
Chile,2012,11.3
Chile,2011,11.4
Chile,2010,11.3
Chile,2009,11.0
Chile,2008,10.9
Chile,2007,11.0
Chile,2006,10.6
Chile,2005,10.3
Chile,2004,12.7
Chile,2003,10.4
Chile,2002,10.3
Chile,2001,10.4
Chile,2018,9.1
Chile,2017,9.4
Chile,2016,9.0
Chile,2015,9.2
Chile,2014,8.7
Chile,2013,8.6
Chile,2012,9.2
Chile,2011,8.3
Chile,2013,8.6
Chile,2012,8.3
Chile,2011,7.0
Chile,2010,7.2
Chile,2009,7.3
Chile,2008,7.2
Chile,2007,7.3
Chile,2006,7.1
Chile,2005,7.0
Chile,2004,7.4
Chile,2003,7.4
Chile,2002,7.6
Chile,2001,7.4
Chile,2018,4.1
Chile,2017,3.9
Chile,2016,4.4
Chile,2015,3.9
Chile,2014,3.2
Chile,2013,4.0
Chile,2012,3.1
Chile,2011,2.9
Chile,2010,3.3
Chile,2009,3.6
Chile,2008,2.8
Chile,2007,2.9
Chile,2006,2.8
Chile,2005,2.8
Chile,2004,3.0
Chile,2003,3.2
Chile,2002,2.8
Chile,2001,3.0
Chile,2018,6.4
Chile,2017,6.6
Chile,2016,6.8
Chile,2015,6.2
Chile,2014,6.4
Chile,2013,6.5
Chile,2012,6.4
Chile,2011,5.6
Chile,2010,5.9
Chile,2009,5.8
Chile,2008,5.8
